date,home_away,opponent,adelphi_score,opponent_score,result,attendance,team,year,game_of_the_season
12/6/2014,home,New Haven,88,73,W,,womens basketball,2014,8
12/11/2014,home,Goldey-Beacom,103,89,W,,womens basketball,2014,9
12/13/2014,home,East Stroudsburg,65,43,W,,womens basketball,2014,10
12/20/2014,home,Holy Family,80,70,W,,womens basketball,2014,11
12/31/2014,away,West Liberty University,78,57,W,,womens basketball,2014,12
1/3/2015,away,Le Moyne,91,68,W,,womens basketball,2014,13
1/7/2015,away,Stonehill College,72,86,L,,womens basketball,2014,14
1/14/2015,home,Bentley University,77,45,W,,womens basketball,2014,15
1/17/2015,away,Assumption,87,89,L,,womens basketball,2014,16
1/21/2015,away,So. New Hampshire,84,50,W,,womens basketball,2014,17
1/24/2015,home,Merrimack,93,74,W,,womens basketball,2014,18
1/29/2015,home,Franklin Pierce,83,53,W,,womens basketball,2014,19
1/31/2015,away,Saint Michael's College,70,51,W,,womens basketball,2014,20
2/4/2015,home,Le Moyne,87,64,W,,womens basketball,2014,21
2/10/2015,home,American Int'l,76,70,W,,womens basketball,2014,22
2/12/2015,away,Franklin Pierce,61,66,L,,womens basketball,2014,23
2/14/2015,away,Southern Conn. State,77,62,W,,womens basketball,2014,24
2/18/2015,home,Saint Rose,69,56,W,,womens basketball,2014,25
2/21/2015,away,Pace,82,72,W,,womens basketball,2014,26
2/24/2015,away,New Haven,76,73,W,,womens basketball,2014,27
3/1/2015,home,Le Moyne,82,70,W,,womens basketball,2014,28
3/5/2015,home,Franklin Pierce,65,54,W,,womens basketball,2014,29
3/8/2015,home,American Int'l,79,57,W,,womens basketball,2014,30
3/13/2015,home,Holy Family,79,84,L,,womens basketball,2014,31
11/14/2015,away,NYIT,65,75,L,,womens basketball,2015,1
11/15/2015,home,LIU Post,63,55,W,,womens basketball,2015,2
11/18/2015,home,So. Conn. St.,69,68,W,,womens basketball,2015,3
11/21/2015,away,American Int'l,40,71,L,,womens basketball,2015,4
11/24/2015,home,Univ. of New Haven,72,63,W,,womens basketball,2015,5
11/30/2015,home,Dowling,65,46,W,,womens basketball,2015,6
12/2/2015,home,Dominican (N.Y.),53,39,W,,womens basketball,2015,7
12/5/2015,home,Le Moyne,58,65,L,,womens basketball,2015,8
12/12/2015,away,Saint Rose,63,50,W,,womens basketball,2015,9
12/14/2015,away,Goldey-Beacom,72,58,W,,womens basketball,2015,10
12/16/2015,home,Queens (NY),69,39,W,,womens basketball,2015,11
12/20/2015,home,Bloomfield,84,70,W,,womens basketball,2015,12
12/30/2015,away,Saint Leo,75,45,W,,womens basketball,2015,13
1/2/2016,home,Pace,63,71,L,,womens basketball,2015,14
1/6/2016,away,Franklin Pierce,44,59,L,,womens basketball,2015,15
1/9/2016,home,St. Michael's,68,52,W,,womens basketball,2015,16
1/13/2016,away,Bentley,65,59,W,,womens basketball,2015,17
1/16/2016,home,SNHU,72,68,W,,womens basketball,2015,18
1/20/2016,home,Stonehill,49,56,L,,womens basketball,2015,19
1/23/2016,away,Merrimack,42,63,L,,womens basketball,2015,20
1/26/2016,away,Saint Anselm,42,62,L,,womens basketball,2015,21
1/30/2016,home,Assumption,78,76,W,,womens basketball,2015,22
2/3/2016,away,Pace,59,48,W,,womens basketball,2015,23
2/6/2016,away,So. Conn. State Univ.,82,78,W,,womens basketball,2015,24
2/10/2016,home,Saint Rose,72,62,W,,womens basketball,2015,25
2/13/2016,away,New Haven,47,59,L,,womens basketball,2015,26
2/17/2016,away,Le Moyne,55,56,L,,womens basketball,2015,27
2/23/2016,home,American Int'l,59,61,L,,womens basketball,2015,28
2/26/2016,away,Franklin Pierce,72,65,W,,womens basketball,2015,29
2/28/2016,away,American Int'l,84,93,L,,womens basketball,2015,30
11/11/2016,home,NYIT,59,73,L,,womens basketball,2016,1
11/12/2016,away,LIU Post,69,49,W,,womens basketball,2016,2
11/16/2016,away,Southern Connecticut State,66,50,W,,womens basketball,2016,3
11/19/2016,home,American Int'l,80,73,W,,womens basketball,2016,4
11/22/2016,away,New Haven,67,51,W,,womens basketball,2016,5
11/27/2016,away,Caldwell,73,78,L,,womens basketball,2016,6
11/30/2016,home,MOLW,66,61,W,,womens basketball,2016,7
12/3/2016,away,Le Moyne,62,48,W,,womens basketball,2016,8
12/6/2016,home,Saint Rose,80,54,W,,womens basketball,2016,9
12/10/2016,away,Pace,66,53,W,,womens basketball,2016,10
12/18/2016,away,Bloomfield,63,58,W,,womens basketball,2016,11
12/29/2016,home,Univ. of Bridgeport,75,69,W,,womens basketball,2016,12
12/30/2016,away,Dominican College N.Y.,56,44,W,,womens basketball,2016,13
1/4/2017,home,Franklin Pierce,66,60,W,,womens basketball,2016,14
1/7/2017,away,Saint Michael's College,63,25,W,,womens basketball,2016,15
1/11/2017,home,Bentley,62,60,W,,womens basketball,2016,16
1/14/2017,away,So. New Hampshire,63,46,W,,womens basketball,2016,17
1/18/2017,away,Stonehill,62,38,W,,womens basketball,2016,18
1/21/2017,home,Merrimack,66,60,W,,womens basketball,2016,19
1/24/2017,home,Saint Anselm,55,47,W,,womens basketball,2016,20
1/28/2017,away,Assumption,58,63,L,,womens basketball,2016,21
2/1/2017,home,Pace,64,54,W,,womens basketball,2016,22
2/4/2017,away,So. Conn. State,62,44,W,,womens basketball,2016,23
2/8/2017,away,Saint Rose,72,63,W,,womens basketball,2016,24
2/11/2017,home,New Haven,65,52,W,,womens basketball,2016,25
2/15/2017,home,Le Moyne,66,60,W,,womens basketball,2016,26
2/21/2017,away,American International,51,54,L,,womens basketball,2016,27
2/26/2017,away,So. Conn. State,69,52,W,,womens basketball,2016,28
3/2/2017,home,Le Moyne,67,57,W,,womens basketball,2016,29
3/5/2017,home,Bentley,67,59,W,,womens basketball,2016,30
3/10/2017,home,NYIT,64,47,W,,womens basketball,2016,31
3/11/2017,home,Molloy,58,59,L,,womens basketball,2016,32
11/11/2017,away,LIU Post,59,58,W,,womens basketball,2017,1
11/12/2017,away,NYIT,54,55,L,,womens basketball,2017,2
11/15/2017,away,Pace,64,67,L,,womens basketball,2017,3
11/18/2017,home,New Haven,60,55,W,,womens basketball,2017,4
11/21/2017,home,Le Moyne,60,52,W,,womens basketball,2017,5
11/26/2017,home,Dist. Columbia,90,62,W,,womens basketball,2017,6
11/28/2017,home,USciences,63,67,L,,womens basketball,2017,7
11/30/2017,away,Molloy,63,66,L,,womens basketball,2017,8
12/2/2017,away,So. Conn. State,63,68,L,,womens basketball,2017,9
12/6/2017,away,Saint Rose,58,69,L,,womens basketball,2017,10
12/9/2017,away,American International,72,70,W,,womens basketball,2017,11
12/16/2017,home,Caldwell,49,67,L,,womens basketball,2017,12
12/18/2017,home,Bloomfield,84,57,W,,womens basketball,2017,13
12/29/2017,away,Bridgeport,69,57,W,,womens basketball,2017,14
1/3/2018,home,Assumption,50,42,W,,womens basketball,2017,15
1/6/2018,away,Saint Anselm,56,67,L,,womens basketball,2017,16
1/9/2018,away,Merrimack,63,60,W,,womens basketball,2017,17
1/13/2018,home,St. Michael's,59,62,L,,womens basketball,2017,18
1/17/2018,away,Bentley,66,78,L,,womens basketball,2017,19
1/20/2018,away,Franklin Pierce,93,51,W,,womens basketball,2017,20
1/23/2018,home,Southern N.H.,78,69,W,,womens basketball,2017,21
1/27/2018,home,Stonehill,55,73,L,,womens basketball,2017,22
1/31/2018,away,Le Moyne,60,68,L,,womens basketball,2017,23
2/3/2018,away,New Haven,44,58,L,,womens basketball,2017,24
2/6/2018,home,Saint Rose,87,48,W,,womens basketball,2017,25
2/10/2018,home,Pace,54,61,L,,womens basketball,2017,26
2/14/2018,away,Southern Conn. State,60,63,L,,womens basketball,2017,27
2/20/2018,away,American International,73,61,W,,womens basketball,2017,28
2/23/2018,home,Merrimack,66,50,W,,womens basketball,2017,29
2/25/2018,away,Stonehill,65,90,L,,womens basketball,2017,30
11/10/2018,home,NYIT,57,64,L,,womens basketball,2018,1
11/11/2018,home,LIU Post,73,85,L,,womens basketball,2018,2
11/14/2018,home,Pace,57,52,W,,womens basketball,2018,3
11/17/2018,away,New Haven,65,59,W,,womens basketball,2018,4
11/20/2018,away,Le Moyne,60,72,L,,womens basketball,2018,5
